Login fail, application stop.,2021-05-07 13:13:05.839
Register.,2021-05-07 13:17:01.002
Exit application.,2021-05-07 13:17:04.476
Log in,2021-05-07 13:17:29.041
Account deleted,2021-05-07 13:17:29.978
Log in,2021-05-07 13:17:58.623
Exit application.,2021-05-07 13:18:01.394
Exit application.,2021-05-07 13:18:05.508
Register.,2021-05-07 13:18:54.343
Account deleted,2021-05-07 13:19:04.855
Register.,2021-05-07 13:20:36.911
Account deleted,2021-05-07 13:20:38.614
Log in,2021-05-07 13:20:51.381
Register.,2021-05-07 13:23:29.137
Account deleted,2021-05-07 13:23:30.404
Log in,2021-05-07 13:23:36.678
Register.,2021-05-07 13:26:33.747
Account deleted,2021-05-07 13:26:34.901
Log in,2021-05-07 13:26:41.083
Exit application.,2021-05-07 13:26:41.784
Display auctions in order.,2021-05-07 13:27:07.091
Log in,2021-05-07 13:27:43.435
Exit application.,2021-05-07 13:27:44.976
Register.,2021-05-07 13:37:51.446
Account deleted,2021-05-07 13:38:07.036
Log in,2021-05-07 13:38:21.306
Exit application.,2021-05-07 13:38:49.575
Exit application.,2021-05-07 13:39:49.844
Register.,2021-05-07 13:40:33.604
Account deleted,2021-05-07 13:41:19.888
Log in,2021-05-07 13:41:33.799
Exit application.,2021-05-07 13:42:14.464
Register.,2021-05-07 13:44:49.486
Account deleted,2021-05-07 13:44:50.784
Log in,2021-05-07 13:44:59.78
Exit application.,2021-05-07 13:45:01.58
Log in,2021-05-07 14:09:44.362
Display auctions in order.,2021-05-07 14:09:47.794
Log in,2021-05-07 14:10:52.471
Display auctions in order.,2021-05-07 14:10:54.234
Auction registration.,2021-05-07 14:10:57.449
Log in,2021-05-07 14:12:37.4
Display auctions in order.,2021-05-07 14:12:38.534
Auction registration.,2021-05-07 14:12:39.899
Exit application.,2021-05-07 14:12:48.288
Log in,2021-05-07 14:20:29.554
Display auctions in order.,2021-05-07 14:20:31.714
Auction registration.,2021-05-07 14:20:32.924
Exit application.,2021-05-07 14:20:34.999
Log in,2021-05-07 14:22:00.317
Display auctions in order.,2021-05-07 14:22:01.416
Auction registration.,2021-05-07 14:22:02.43
Exit application.,2021-05-07 14:22:03.661
Log in,2021-05-07 14:42:31.528
Exit application.,2021-05-07 14:43:10.653
Log in,2021-05-07 14:47:26.753
Added products displayed.,2021-05-07 14:47:32.2
Display auctions in order.,2021-05-07 14:47:41.133
Added products displayed.,2021-05-07 14:47:56.283
Product added.,2021-05-07 14:47:59.836
Exit application.,2021-05-07 14:48:04.031
Log in,2021-05-27 21:29:29.076
Log in,2021-05-28 00:09:58.557
Display auctions in order.,2021-05-28 00:10:01.91
Display auctions in order.,2021-05-28 00:15:05.959
Log out.,2021-05-28 00:17:06.51
Log in,2021-05-28 00:17:26.858
Display auctions in order.,2021-05-28 00:17:34.396
Auction registration.,2021-05-28 00:17:50.721
Display auctions in order.,2021-05-28 00:23:52.281
Register.,2021-05-28 00:36:45.982
Log in,2021-05-28 01:16:22.887
Log in,2021-05-28 01:17:01.719
Log in,2021-05-28 01:24:37.789
Log in,2021-05-28 01:31:21.719
Log in,2021-05-28 01:48:49.124
Log in,2021-05-28 01:49:51.89
Log in,2021-05-28 02:13:14.231
Register.,2021-05-28 03:17:51.196
Account deleted,2021-05-28 03:20:22.565
Log in,2021-05-28 03:20:42.021
Account deleted,2021-05-28 03:20:43.445
Register.,2021-05-28 03:24:37.572
Exit application.,2021-05-28 03:24:43.819
Log in,2021-05-28 03:25:18.169
Display auctions in order.,2021-05-28 03:25:22.8
Exit application.,2021-05-28 03:26:27.42
Log in,2021-05-28 03:49:18.268
Display auctions in order.,2021-05-28 03:58:27.603
Log in,2021-05-28 04:10:34.233
Display auctions in order.,2021-05-28 04:10:35.059
Log in,2021-05-28 04:16:12.217
Display auctions in order.,2021-05-28 04:16:15.251
Log in,2021-05-28 04:17:38.804
Display auctions in order.,2021-05-28 04:17:39.697
Log in,2021-05-28 04:18:14.071
Display auctions in order.,2021-05-28 04:18:14.591
Log in,2021-05-28 04:18:41.148
Display auctions in order.,2021-05-28 04:18:42.238
Log in,2021-05-28 04:39:41.551
Bet placed for client.,2021-05-28 04:40:01.495
Exit application.,2021-05-28 04:40:06.249
Log in,2021-05-28 04:45:10.444
Bet placed for client.,2021-05-28 04:46:37.882
Log out.,2021-05-28 04:47:09.441
Log in,2021-05-28 04:47:20.282
Log in,2021-05-28 04:51:18.92
Display auctions in order.,2021-05-28 04:51:20.765
Log in,2021-05-28 04:53:32.135
Log out.,2021-05-28 04:54:25.459
Log in,2021-05-28 04:54:57.045
Bet placed.,2021-05-28 04:55:09.852
Display auctions in order.,2021-05-28 04:55:13.005
Exit application.,2021-05-28 04:55:32.707
Exit application.,2021-05-28 04:55:34.953
Log in,2021-05-28 05:03:00.272
Bet placed for client.,2021-05-28 05:03:04.24
Exit application.,2021-05-28 05:03:08.089
Log in,2021-05-28 05:24:54.015
Exit application.,2021-05-28 05:25:40.424
Register.,2021-05-28 05:26:06.948
Account deleted,2021-05-28 05:26:27.08
Log in,2021-05-28 11:29:31.653,main
Exit application.,2021-05-28 11:29:49.279,main
Log in,2021-05-28 11:49:26.647,main
Product added.,2021-05-28 11:51:08.149,main
Added products displayed.,2021-05-28 11:51:13.48,main
